Player Name,Team,Age,Positions,FP,FP/GP,GP,TOI,PP TOI,G,A,P,SOG,PPG,PPP,BLK,HIT,plus_minus,GWG,FOW,FOL,FO%,Extra,Extra
Nathan MacKinnon,COL,30,C,441.6,7.36,60,21.5,4.4,31.1,57.7,88.7,249.5,8.8,30.1,41.4,36.9,12.0,5.4,533.1,568.6,48%,,
Connor McDavid,EDM,28,C,394.7,6.80,58,23.1,3.3,24.4,63.4,87.7,185.7,7.0,28.6,20.0,38.7,6.8,3.6,320.8,336.9,49%,,
Jack Hughes,N.J,24,"C,LW",394.4,6.47,61,23.2,3.3,30.6,43.4,74.1,261.2,6.2,24.0,35.2,14.9,4.9,4.6,208.7,354.3,37%,,
Jack Eichel,VGK,29,C,391.6,6.42,61,21.1,3.6,26.2,49.5,75.6,229.7,5.4,28.6,42.6,22.9,8.8,4.5,447.5,523.2,46%,,
Nikita Kucherov,T.B,32,RW,390.2,6.40,61,19.8,3.6,28.2,55.5,83.7,195.6,7.0,29.7,22.8,23.3,7.7,5.1,0.6,0.8,0%,,
Auston Matthews,TOR,28,C,384.7,6.41,60,21.5,3.0,35.5,32.0,67.5,241.7,8.6,18.3,85.9,48.1,4.4,4.8,602.0,476.2,56%,,
Cale Makar,COL,27,D,372.7,6.21,60,25.6,4.3,19.1,49.1,68.2,176.7,6.4,27.7,103.8,42.2,9.8,3.4,0.0,0.0,0%,,
David Pastrnak,BOS,29,RW,369.2,6.37,58,20.3,3.9,30.1,43.9,74.0,229.1,8.7,23.2,19.0,59.3,-1.6,4.1,3.6,4.1,47%,,
Quinn Hughes,VAN,26,D,365.7,6.20,59,27.5,4.5,13.3,57.8,71.1,172.7,4.6,31.1,69.9,17.6,1.4,1.9,0.0,0.0,0%,,
Zach Werenski,CBJ,28,D,360.3,6.01,60,27.6,3.4,15.3,44.9,60.2,220.5,3.6,19.6,99.7,29.6,4.0,2.3,0.0,0.0,0%,,
Leon Draisaitl,EDM,30,"C,LW",359.3,6.19,58,22.3,3.4,36.0,42.6,78.5,169.9,14.2,27.5,22.3,29.8,7.3,5.4,561.4,444.5,56%,,
Kirill Kaprizov,MIN,28,LW,357.7,6.06,59,21.9,3.9,33.7,39.2,72.8,202.2,11.3,25.2,25.8,28.5,3.0,5.3,0.0,2.3,0%,,
William Nylander,TOR,29,"C,RW",346.3,5.77,60,21.1,3.1,31.9,39.9,71.8,195.9,7.2,19.7,26.5,17.5,2.4,4.3,52.6,58.0,48%,,
Jason Robertson,DAL,26,"LW,RW",344.7,5.74,60,20.0,3.9,28.4,39.2,67.6,205.9,9.1,22.8,32.1,46.8,7.7,5.1,1.0,4.6,18%,,
Brady Tkachuk,OTT,26,"C,LW",333.1,5.46,61,20.0,3.8,26.8,28.9,55.7,264.0,10.1,19.9,28.5,189.8,3.9,4.3,160.7,145.9,52%,,
Kyle Connor,WPG,28,LW,330.9,5.43,61,20.6,2.8,30.3,35.7,66.0,205.3,4.8,17.3,25.8,23.2,2.1,4.6,0.6,3.2,15%,,
Macklin Celebrini,S.J,19,C,330.4,5.60,59,20.4,3.4,26.1,38.8,64.8,185.4,8.2,21.8,42.6,35.2,-6.6,3.3,441.4,471.5,48%,,
Martin Necas,COL,26,RW,325.3,5.42,60,21.0,4.4,26.5,41.4,67.9,167.8,10.2,26.3,22.6,56.1,8.4,4.6,33.0,50.3,40%,,
