Player Name,Team,Age,pos,Salary,GS,W,L,OTL,GA,SA,SV,SV%,GAA,SHO,QS,RBS,VOR,Rank,FP,Fantasy Team,GP Org,,,playerId
Jonathan Quick,NYR,40,G,"$1,550,000",14,7,6,1,38,395,357,0.905,2.68,1,0,0,-55,46,56,,25,13.554,13.805,8471734
Jacob Markstrom,NJD,36,G,"$6,000,000",36,17,15,4,107,998,891,0.893,2.96,2,0,0,101,34,129,,53,36.120,36.120,8474593
Jake Allen,NJD,35,G,"$1,800,000",24,12,9,2,65,665,600,0.903,2.70,1,0,0,116,28,94,,30,23.520,23.520,8474596
Darcy Kuemper,LAK,35,G,"$5,250,000",42,22,16,4,102,1068,966,0.904,2.44,2,0,0,584,5,159,,52,41.895,41.895,8475311
Cam Talbot,DET,38,G,"$2,500,000",31,16,12,3,90,828,738,0.891,2.90,2,0,0,6,39,108,,38,31.248,31.248,8475660
Sergei Bobrovsky,FLA,37,G,"$10,000,000",40,23,14,3,103,1039,936,0.901,2.57,3,0,0,492,8,154,,54,39.788,39.788,8475683
Calvin Pickard,EDM,33,G,"$1,000,000",19,9,8,2,59,496,438,0.882,3.09,1,0,0,-441,65,59,,30,18.592,18.592,8475717
Scott Wedgewood,COL,33,G,"$1,500,000",26,17,7,2,63,679,616,0.907,2.42,2,0,0,379,12,109,,27,26.334,26.334,8475809
Philipp Grubauer,SEA,34,G,"$5,900,000",19,8,9,2,56,528,472,0.893,2.97,1,0,0,-256,62,66,,35,18.618,18.618,8475831
Petr Mrazek,ANA,33,G,"$4,250,000",24,10,11,3,80,729,649,0.890,3.34,1,0,0,-316,63,88,,25,24.475,24.920,8475852
Frederik Andersen,CAR,36,G,"$2,750,000",32,19,10,3,82,780,698,0.895,2.57,2,0,0,246,19,115,,42,31.920,31.920,8475883
Anton Forsberg,LAK,33,G,"$2,250,000",19,9,8,2,51,483,432,0.895,2.68,1,0,0,-103,52,66,,28,19.380,19.380,8476341
Jordan Binnington,STL,32,G,"$6,000,000",34,16,15,4,95,930,835,0.898,2.78,2,0,0,189,23,125,,55,34.265,34.265,8476412
John Gibson,DET,32,G,"$6,400,000",29,14,12,3,86,775,688,0.889,2.97,2,0,0,-93,50,99,,43,29.176,29.176,8476434
Andrei Vasilevskiy,TBL,31,G,"$9,500,000",43,27,13,3,106,1192,1087,0.911,2.46,3,0,0,799,1,189,,60,43.320,43.320,8476883
Matt Murray,SEA,31,G,"$1,000,000",12,5,5,1,33,333,300,0.900,2.78,1,0,0,-214,60,45,,35,12.282,15.486,8476899
Joonas Korpisalo,BOS,31,G,"$4,000,000",17,7,8,2,58,506,447,0.884,3.44,1,0,0,-590,69,57,,32,17.490,17.490,8476914
Anthony Stolarz,TOR,32,G,"$2,500,000",35,18,14,3,100,1071,971,0.907,2.86,2,0,0,370,13,152,,45,35.316,37.278,8476932
Connor Hellebuyck,WPG,32,G,"$8,500,000",32,19,11,3,77,921,844,0.916,2.41,2,0,0,622,4,146,,62,31.836,43.206,8476945
Linus Ullmark,OTT,32,G,"$8,250,000",42,22,16,4,108,1087,979,0.900,2.58,2,0,0,476,11,156,,48,42.408,42.408,8476999
Juuse Saros,NSH,30,G,"$7,740,000",42,19,19,5,127,1152,1025,0.890,3.02,2,0,0,126,26,143,,61,41.838,41.838,8477424
Tristan Jarry,PIT,30,G,"$5,375,000",35,17,15,4,102,1008,905,0.899,2.92,2,0,0,195,22,135,,35,34.599,34.599,8477465
Eric Comrie,WPG,30,G,"$825,000",17,9,7,2,49,489,441,0.901,2.86,1,0,0,-108,53,68,,24,17.328,17.328,8477480
