Player Name,Age,Team,Positions,Salary,TOI Org ES,TOI Org PP,TOI Org PK,GP Org,GP,TOI ES,TOI PP,TOI PK,Total TOI,Goals,Assists,Points,PPG,PPA,PP Points,SHG,SHA,SHP,Hits,BLK,PIM,FOW,FOL,SOG,"""+/-""",VOR,Rank,Unadj VOR,FP,PlayerId,Fantasy Team,Injured GP,
A.J. Greer,29,FLA,LW,"$850,000",,,,80,57,9.62,0.13,0.36,10.11,8,8,16,0,0,0,0,0,0,156,25,57,6,13,64,3,245,223,251,177,8478421,,56.6,56.6
Aaron Ekblad,29,FLA,D,"$6,100,000",,,,70,50,17.52,2.58,2.58,22.68,6,21,27,2,8,10,0,1,1,65,63,38,0,0,94,2,506,134,437,219,8477932,,49.5,49.5
Aatu Raty,23,VAN,C,"$775,000",,,,75,51,11.06,0.22,0.44,11.71,8,10,18,0,1,1,0,0,0,122,16,18,280,218,51,-2,-198,465,-20,184,8482691,,51.2,51.2
Adam Boqvist,25,NYI,D,"$850,000",,,,49,33,12.58,1.52,0.06,14.15,2,9,11,1,4,5,0,0,0,12,27,6,0,0,32,-3,-673,751,-742,74,8480871,,33.5,33.5
Adam Edstrom,25,NYR,LW,"$975,000",,,,72,48,9.47,0.08,0.02,9.56,6,5,11,0,0,0,0,0,0,92,31,15,3,1,40,0,-479,689,-473,108,8481726,,54.0,48.3
Adam Engstrom,22,MTL,D,"$875,000",,,,74,52,15.98,0.47,0.47,16.91,3,12,15,0,2,2,0,0,0,51,64,19,0,0,60,0,-188,455,-257,137,8483686,,52.3,52.3
Adam Erne,30,DAL,LW,"$875,000",,,,74,51,9.10,0.00,0.32,9.43,5,6,11,0,0,0,0,0,0,145,23,12,8,11,35,-1,-416,652,-409,110,8477454,,52.0,50.5
Adam Fantilli,21,CBJ,C,"$950,000",,,,82,56,15.61,1.92,0.22,17.75,21,19,40,4,3,7,0,0,0,63,36,14,260,290,135,-5,494,139,672,302,8484166,,56.0,56.0
Adam Fox,27,NYR,D,"$9,500,000",,,,78,42,19.73,3.03,1.29,24.06,7,33,40,1,14,15,0,1,1,23,66,17,0,0,78,6,504,136,435,219,8479323,,42.0,52.3
Adam Gaudette,29,SJS,"C,RW","$2,000,000",,,,81,54,9.69,1.53,0.03,11.25,13,8,21,2,2,4,0,0,0,49,18,12,101,99,66,-2,-253,517,-226,159,8478874,,54.3,54.3
Adam Ginning,26,PHI,D,"$875,000",,,,74,51,15.61,0.43,0.69,16.73,3,11,14,0,1,1,0,0,0,50,61,18,0,0,55,-1,-263,523,-332,127,8480874,,51.4,51.4
Adam Henrique,35,EDM,"C,LW","$3,000,000",,,,79,54,11.95,0.95,1.70,14.60,10,11,21,1,2,3,1,0,1,36,58,12,306,245,76,-2,51,302,57,214,8474641,,54.0,54.0
Adam Klapka,25,CGY,RW,"$1,250,000",,,,58,39,9.44,0.58,0.00,10.01,6,6,12,1,1,2,0,0,0,129,27,21,5,11,48,-1,-283,539,-257,129,8483609,,38.9,38.9
Adam Larsson,33,SEA,D,"$5,250,000",,,,81,57,18.96,0.07,2.62,21.65,4,13,17,0,0,0,0,1,1,78,109,23,0,0,70,-3,139,266,71,174,8476457,,57.3,57.3
Adam Lowry,32,WPG,C,"$3,250,000",,,,68,47,12.33,0.15,2.04,14.52,8,11,19,0,0,0,1,0,1,90,37,16,346,306,60,4,-138,408,40,204,8476392,,47.3,47.3
Adam Pelech,31,NYI,D,"$5,750,000",,,,74,51,17.39,0.15,2.34,19.89,3,14,17,0,1,1,0,1,1,38,78,20,0,0,76,7,-90,379,-159,161,8476917,,50.5,50.5
Adam Wilsby,25,NSH,D,"$775,000",,,,64,44,15.72,0.05,1.40,17.17,3,8,11,0,0,0,0,0,0,25,43,13,0,0,55,1,-525,703,-594,105,8482482,,44.5,44.5
Adrian Kempe,29,LAK,RW,"$5,500,000",,,,80,56,15.23,3.13,1.05,19.41,22,27,49,5,10,15,1,0,1,97,29,32,24,37,170,6,1112,34,1139,349,8477960,,55.6,55.6
Albert Johansson,25,DET,D,"$1,125,000",,,,67,46,14.60,0.11,0.91,15.62,2,7,9,0,0,0,0,0,0,47,57,15,0,0,36,-3,-487,694,-556,93,8481607,,45.8,45.8
